,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
210,WINk-WIN,$0.0001,-2.22%,$670.0k,$34.1k,-6.59%,0.00%,0.05,-0.0281%,+0.0100%,$0.0,2022-09-16 12:16:28.794092
211,Baby Doge Coin-BABYDOGE,$0.0000,-2.92%,$663.7k,$1.4m,-2.56%,0.01%,2.09,+0.0482%,+0.0258%,$684.0,2022-09-16 12:16:28.794092
212,Exchange Token Index FTX-EXCH,"$6,472.95",-1.55%,$631.0k,$3.4m,+2.67%,0.02%,5.38,-0.0027%,-0.0031%,$0.0,2022-09-16 12:16:28.794092
213,Huobi Token-HT,$4.58,-1.27%,$602.2k,$3.5m,-0.67%,0.02%,5.74,+0.0050%,+0.0042%,$26.3k,2022-09-16 12:16:28.794092
214,Verasity-VRA,$0.0043,-1.71%,$597.3k,$16.1k,-37.49%,0.00%,0.03,+0.0100%,+0.0100%,$0.0,2022-09-16 12:16:28.794092
215,Nano-XNO,$0.8340,-4.03%,$573.0k,$250.7k,-15.26%,0.00%,0.44,+0.0222%,+0.0222%,$8.8k,2022-09-16 12:16:28.794092
216,eCash-XEC,$0.0000,-3.09%,$562.8k,$71.0k,+18.13%,0.00%,0.13,+0.0100%,+0.0100%,$796.6,2022-09-16 12:16:28.794092
217,Secret-SCRT,$1.05,-2.59%,$536.8k,$742.0k,+1.40%,0.00%,1.38,+0.0100%,+0.0106%,$686.0,2022-09-16 12:16:28.794092
218,DODO-DODO,$0.1214,-1.59%,$535.5k,$1.0m,-0.28%,0.00%,1.91,+0.0044%,+0.0074%,$827.9,2022-09-16 12:16:28.794092
219,OpenDAO-SOS,$0.0000,-5.22%,$533.4k,$705.6k,-1.86%,0.00%,1.32,+0.0472%,-0.0583%,$2.6k,2022-09-16 12:16:28.794092
220,Clover Finance-CLV,$0.0868,-2.16%,$482.7k,$654.4k,+11.99%,0.00%,1.36,-0.1174%,-0.0904%,$35.3,2022-09-16 12:16:28.794092
221,Blockstack-STX,$0.3506,-0.46%,$480.3k,$1.2m,+7.68%,0.01%,2.45,+0.0000%,-0.0023%,$0.0,2022-09-16 12:16:28.794092
222,Alien Worlds-TLM,$0.0229,-0.50%,$475.7k,$1.2m,+1.80%,0.01%,2.48,+0.0022%,+0.0008%,$95.1,2022-09-16 12:16:28.794092
